Dataset Name,Link,Topic/Category,Description,Potential Use Cases,Region/Coverage,Time Span,Update Frequency,Data Format/Access,Source/Institution,Authors (if provided),id
Open Source Bond Asset Pricing,https://openbondassetpricing.com/,Asset Pricing (Bonds),"Resource with data and code to replicate corporate bond asset pricing studies[13]. Includes bond-level panel data with various predictors and factors, facilitating research on corporate bond markets and fixed income asset pricing.",Corporate bond return prediction; studying bond risk premia; extending equity factor models to bond markets,U.S. Corporate Bond Market (primarily),~1973–present (typical coverage aligning with corporate bond data availability),Irregular (aligned with research releases),CSV datasets + replication code (available online),Open Bond Asset Pricing project (academic initiative),(N/A),11
RatingsHistory.info (Credit Ratings),https://ratingshistory.info,Asset Pricing (Credit),"Comprehensive database tracking credit rating changes over time from major agencies (Moody’s, S&P, Fitch). Includes historical rating transitions and timelines, useful for analyzing credit risk and rating-based investment strategies.",Studying impact of rating changes on bond/stock prices; default probability research; credit risk modeling,U.S. & Global (rated firms and sovereigns),~1970s–present (historical ratings data),Updated periodically (as new ratings changes occur),Online database (query interface; data export),Independent (RatingsHistory.info platform),(N/A),12
Twelve Data,https://twelvedata.com,Asset Pricing,"Offers APIs for real-time and historical data on stocks, forex, cryptocurrencies, ETFs, and indices. Supports multiple data formats and integration with various programming languages, providing a flexible solution for market data retrieval.",Building trading algorithms; real-time market monitoring dashboards; multi-asset price analysis,Global,Varies by asset (historical depth differs per instrument),"Real-time, intraday and daily updates",API (JSON/CSV) with Python/R/Excel integration,Twelve Data (market data provider),(N/A),13
EDGAR – Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/,ESG (Environmental),"Global database of anthropogenic greenhouse gas and air pollutant emissions[14]. Provides country and sector-level emissions data, offering insights into environmental impact by region[15]. Widely used to link emissions data with economic and financial analysis.",Studying corporate carbon exposure vs financial performance[16]; analyzing impacts of emissions regulations on markets,Global (country-level),1970–present (annual emissions data),Annual updates (with a lag for data processing),CSV and database query (via EU JRC website),European Commission (JRC) – EDGAR project,"European Commission, Joint Research Centre (team)",14
EPA Toxic Release Inventory (TRI),https://www.epa.gov/toxics-release-inventory-tri-program,ESG (Environmental),"U.S. database of industrial pollution and toxic chemical releases, reported annually by facilities[17]. Used to assess firms’ environmental performance and regulatory compliance[18]. Provides detailed data on chemicals, quantities, and locations of releases.",Linking pollution data to firm stock performance[18]; research on environmental regulation impact; community health and investment studies,United States,1987–present (annual data),Annual (reports compiled each year),"CSV downloads, EPA data portal (online query)",U.S. Environmental Protection Agency,(N/A),15
OSF: Firm-level Climate Change Exposure,https://osf.io/fd6jq/,ESG (Climate Finance),"Dataset measuring firms’ exposure to climate change risks and opportunities, derived from textual analysis of corporate disclosures (e.g. earnings calls)[19]. Allows researchers to gauge how sensitive individual firms are to climate-related issues.",Analyzing climate risk disclosure effects on stock volatility[20]; studying investor reactions to climate news,"Global (firm-level, mostly large listed firms)",~2000s–present (coverage depends on availability of disclosures),Irregular (static dataset with potential updates),CSV dataset on OSF (Open Science Framework),Academic project (OSF repository by researchers),"Authors: Ilhan, Sautner, Vilkov (as per associated paper)",16
ECB Household Finance and Consumption Survey (HFCS),https://www.ecb.europa.eu/stats/ecb_surveys/hfcs/html/index.en.html,Household Finance,"European household-level survey covering income, wealth, consumption, and debt across Eurozone countries[21]. Provides microdata to understand financial behavior, inequality, and the impact of monetary policy on households[22].",Research on wealth distribution and consumption in Europe[23]; analyzing household debt and financial stability[21],Euro Area (multiple EU countries),2010–present (waves every few years),Periodic waves (~every 3 years),Microdata via application (ECB secure data),European Central Bank,(N/A) – ECB and national survey teams,17
ECB SAFE Survey,https://www.ecb.europa.eu/stats/ecb_surveys/safe/html/data.en.html,Corporate Finance,"ECB Survey on the Access to Finance of Enterprises, focusing on small and medium-sized enterprises (SMEs) in Europe[24]. Captures data on financing needs, credit access, and obstacles faced by SMEs[24]. Invaluable for understanding the business financing environment.",Studying credit constraints and SME growth[24]; analyzing effectiveness of credit policies; SME financing trends over cycles,Europe (Eurozone SMEs),2009–present (semiannual survey waves),Semiannual,CSV datasets (aggregated results) on ECB website,European Central Bank,(N/A),18
EIB Surveys (Investment and Innovation),https://www.eib.org/en/surveys/index,Macro/Finance (Europe),"Surveys by the European Investment Bank covering investment activities, infrastructure needs, innovation, and firm performance across EU countries[25]. Includes specialized topics like digitalization and climate adaptation, informing research on sustainable finance and development[25].",Examining SME investment under low interest rates[26]; green finance adoption in Europe[27]; infrastructure investment gaps analysis,Europe (EU member countries),~2016–present (annual survey waves),Annual,Survey reports and microdata (some public summary data),European Investment Bank (EIB),(N/A) – EIB Economics Department,19
Euro Area Monetary Policy Event-Study Database,https://cepr.org/voxeu/columns/euro-area-monetary-policy-event-study-database,Macro (Monetary Policy),"Database of European Central Bank monetary policy decisions and associated financial market reactions[28]. It documents policy announcement dates and the immediate impact on asset prices, enabling analysis of monetary policy transmission in the Euro area.",Studying market reactions to ECB policy announcements[29]; comparing conventional vs unconventional policy effects on bonds and stocks,Euro Area,1999–present (covers ECB era events),Event-based (updated after each policy announcement),CSV dataset (available via CEPR/VoxEU link),CEPR researchers (academic collaboration),"Altavilla, Brugnolini, et al. (developers, 2019)",20
Euro Foreign Exchange Reference Rates,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Macro (FX),"Official daily reference exchange rates for the euro against various currencies, published by the ECB[30]. Provides a consistent source for Euro FX rates, often used for economic analysis and currency risk studies.",Analyzing exchange rate movements in relation to ECB policy[31]; covered interest parity tests involving the euro; foreign trade impact assessments,Euro Area (Euro vs. major currencies),1999–present (daily rates since Euro introduction),Daily,CSV/XML daily data (ECB website and API),European Central Bank,(N/A),21
Consumer Expenditure Survey (CEX),https://www.bls.gov/cex/,Consumer Finance,"U.S. Bureau of Labor Statistics survey on household expenditures, income, and demographics[32]. Provides detailed microdata on spending patterns, used to study consumption behavior and cost-of-living trends[33].",Analyzing consumer spending during recessions[34]; examining income inequality effects on consumption[34]; inflation and cost-of-living research,United States,1980–present (continuous quarterly surveys),Annual data release (with quarterly collection),"Microdata (public use files), tables (BLS website)",U.S. Bureau of Labor Statistics,(N/A),22
Survey of Consumer Finances (SCF),https://www.federalreserve.gov/econres/scfindex.htm,Household Finance,"Triennial survey by the U.S. Federal Reserve detailing household balance sheets, including assets, debts, pensions, income, and demographics[35][36]. Focuses on wealth distribution and financial health of households.",Research on wealth inequality in the U.S.; analyzing household debt and financial vulnerability[36]; calibrating models of consumer finance,United States,1983–present (triennial waves),Triennial,"Microdata (public datasets, SAS/Stata format)",U.S. Federal Reserve Board,(N/A),23
General Social Survey (GSS),https://gss.norc.org/,Socio-Economic (Behavior),"Biannual survey of U.S. residents covering opinions, attitudes, and behaviors on various topics[37]. Often used in finance research to link social trends (trust, risk tolerance, etc.) with economic and financial behavior[38].",Studying financial literacy and investment behavior[39]; examining social trust and risk-taking in financial decisions[39],United States,1972–present (biannual waves),Biennial,Microdata (via NORC; SDA online analysis),NORC at University of Chicago,(N/A),24
LISS Panel (Netherlands),https://www.lissdata.nl/,Household Finance,"An online longitudinal panel survey in the Netherlands, representative of the Dutch population[40]. Collects rich household data on assets, income, and preferences. High-quality source for studying Dutch household finances and social factors.",Investigating household asset and income relationships in the Netherlands[41]; studying housing wealth effects (e.g. during COVID)[41],Netherlands,2007–present (monthly surveys across multiple panels),Continuous (data released periodically),Microdata (accessible to researchers via application),CentERdata (Tilburg University),(N/A),25
University of Michigan Survey of Consumers,https://data.sca.isr.umich.edu/,Consumer Sentiment,"Long-running survey capturing U.S. consumer sentiment, expectations, and attitudes toward economic conditions[42]. Often summarized as the Index of Consumer Sentiment. Widely used as an indicator of consumer confidence and spending propensity.",Linking consumer sentiment to stock market returns[43]; studying how economic uncertainty influences household decisions[43]; macro forecasting,United States,1946–present (monthly surveys),Monthly,Index results (public) and microdata (subscription),Univ. of Michigan (Survey Research Center),"(N/A) – George Katona (founder), ongoing team",26
AAII Investor Sentiment Survey,https://www.aaii.com/sentimentsurvey,Behavioral Finance,"Weekly survey by the American Association of Individual Investors gauging retail investor sentiment (percent bullish, bearish, neutral)[44]. Provides a sentiment index often used as a contrarian indicator or for analyzing behavioral biases in markets.",Examining sentiment’s impact on short-term market movements[45]; studying behavioral biases in retail investing[45]; contrarian strategy development,United States,1987–present (weekly readings),Weekly,Results published on AAII website (CSV available),American Association of Individual Investors,(N/A),27
Economic Uncertainty Indices,https://www.policyuncertainty.com/,Macro (Sentiment),"A collection of indices measuring economic uncertainty (e.g. Policy Uncertainty Index by Baker, Bloom & Davis)[46]. These indices are based on factors like policy news, geopolitical events, and market volatility[46]. Used to study how uncertainty affects economic decisions and markets.",Investigating the impact of uncertainty on corporate investment[47]; studying cross-border investment under policy uncertainty; forecasting recessions,Global (U.S. and many other countries),~1985–present (varies by index; BBD index from 1985),Monthly (for many indices),Index data via website (CSV),"Various (PolicyUncertainty.com by Baker, Bloom, Davis)","Scott Baker, Nicholas Bloom, Steven Davis (creators)",28
Geert Hofstede’s Cultural Dimensions,https://geerthofstede.com/research-and-vsm/dimension-data-matrix/,Behavioral (Cultural),"Country-level dataset of cultural dimension scores (e.g. Individualism, Uncertainty Avoidance, Long-Term Orientation)[48]. Widely used to examine how cultural norms influence economic behavior, corporate governance, and financial decisions[48].",Relating cultural traits to financial literacy and behaviors[49]; studying cultural distance effects on cross-border M&A returns[49],Global (110+ countries),~1960s–2015 (survey waves; largely static per country),Infrequently updated (few major survey rounds),CSV data available from Hofstede site,"Geert Hofstede, Gert Jan Hofstede, Michael Minkov",Geert Hofstede (original researcher),29
Social Connectedness Index (SCI),https://data.humdata.org/dataset/social-connectedness-index,Behavioral (Networks),"Measures strength of social connectedness between geographic areas based on Facebook friendship links[50]. Provides an index of cross-region social ties, useful for understanding how social networks may influence economic and financial interactions.",Analyzing how social networks affect stock market integration and capital flows[51]; studying information transmission in finance via social connections,"Global (country, region, city pairs)",2018–present (using Facebook data at points in time),"Occasional (dataset releases, not real-time)",CSV data via Humanitarian Data Exchange (OCHA),"Facebook / academic collaboration (Harvard, etc.)","Bailey, Cao, Kuchler, Stroebel (SCI creators, 2018)",30
World Value Survey (WVS),https://www.worldvaluessurvey.org/wvs.jsp,Behavioral (Socio-Cultural),"Global survey on social, political, and cultural values, with data on trust, beliefs, attitudes, etc.[52]. Often linked to economic outcomes to study how societal norms relate to financial development and behavior[53].",Examining the role of trust in financial market participation[54]; studying cultural values vs corporate social responsibility outcomes[55],Global (100+ countries),"1981–present (7 waves to 2022, ~5-year intervals)","Every 5 years (approximately, by wave)",Survey microdata (free registration for download),World Values Survey Association,Ronald Inglehart et al. (principal investigators),31
CEPII Country Distance Data (Gravity Dataset),https://www.cepii.fr/cepii/en/bdd_modele/bdd_modele_item.asp?id=6,Macro (International),"Provides geographic distance measures and related variables for country pairs (e.g. distances between capitals, common language, colonial ties)[56]. Often used in international trade and finance to study how distance and geography affect economic interactions[57].",Analyzing effect of distance on FDI and trade flows[58]; examining how shocks like COVID alter distance vs. M&A relationships[58],Global (country pairs worldwide),Static (distance and geography do not change; data reflects historical ties as of ~2000s),Static (periodically updated for new country definitions),CSV data files (download from CEPII site),CEPII (French Research Center),"Thierry Mayer, Soledad Zignago (authors of distance dataset)",32
Bram van der Kroft’s Data,https://www.bramvanderkroft.com/data,ESG/Real Estate,Datasets from Bram van der Kroft’s research focusing on sustainability in real estate and corporate behavior[83]. Includes data on green building renovations and firm-level sustainability initiatives and performance[83].,Studying financial returns to sustainable real estate investments; analyzing how corporate sustainability aspirations affect performance,Europe (Netherlands/EU focus),2010s (data corresponding to research studies),Static (data as used in specific papers),CSV files (download from personal site),Erasmus University Rotterdam (Researcher’s site),Bram van der Kroft,33
World Bank Doing Business Indicators,https://archive.doingbusiness.org/en/data/doing-business-score,Macro (Regulation),"Annual dataset (2004–2020) on regulatory environment across countries, covering ease of starting a business, getting credit, enforcing contracts, etc.[59]. Although the Doing Business report was discontinued in 2021, historical data remain valuable for studying regulatory impact[60].",Investigating how business regulations relate to entrepreneurship and growth; examining leverage vs ease of business start-up[61][62]; cross-country investment climate comparisons,Global (190+ countries),2004–2020 (annual scores),Annual (discontinued after 2020),Excel/CSV from World Bank archive,World Bank (Doing Business team),Simeon Djankov et al. (original methodology authors),34
EM-DAT (International Disaster Database),https://www.emdat.be/,Macro (Risk),"Global database of 26,000+ mass disasters (natural and technological) from 1900 to present[63]. Records disaster dates, types, locations, and impacts (fatalities, damages)[64]. Used to analyze the economic and financial impact of disasters worldwide.",Studying global financial market reactions to major disasters[65]; assessing disaster risk on sovereign credit risk[65]; insurance and catastrophe bond research,Global,1900–present,Continuous (updated as new disasters occur),"Online database (query tool, data download for researchers)",CRED (Univ. of Louvain) – Centre for Research on the Epidemiology of Disasters,Debarati Guha-Sapir (database founder),35
Global Macro Database (GMD),https://www.globalmacrodata.com/,Macro (Historical),"An open-source, unified macroeconomic dataset combining data from 32 major sources (IMF, World Bank, OECD, etc.) with 78 historical datasets to create comprehensive annual time series for 46 variables across 243 countries[66]. Continuously updated resource for long-run international macro data.",Long-horizon cross-country growth studies; historical analysis of macroeconomic trends; validating economic history models (e.g. 19th century growth vs openness[67]),Global (243 countries),19th century–present (data from 1800s onward for many series),Continuous updates (new data added regularly),CSV/XLSX/DTA downloads; API available,Global Macro Database project (Karsten Müller et al.),"Karsten Müller, Chenzi Xu, Mohamed Lehbib, Ziliang Chen (2023)",36
Heritage Foundation Index of Economic Freedom,https://www.heritage.org/index/,Macro (Regulation),"Annual index scoring countries on economic institutions: property rights, regulatory efficiency, trade freedom, etc.[68]. Offers a snapshot of policy and governance environments, useful for evaluating investment climate and growth prospects[68].",Analyzing impact of economic freedom on FDI and venture capital inflows[69]; studying links between regulatory efficiency and financial market development[69],Global (180+ countries),1995–present (annual scores),Annual,Scores online; full data in CSV via Heritage site,Heritage Foundation (think tank),"Terry Miller, Anthony Kim (annual report authors)",37
LobbyView (Lobbying Database),https://www.lobbyview.org/data-download,Macro (Political Economy),"Firm-level dataset on U.S. lobbying activities and corresponding congressional bills[70]. Includes lobbying expenditure amounts, targeted bill identifiers, and firms involved[71]. Enables analysis of corporate political engagement and its financial effects.",Studying how corporate lobbying affects firm performance[72]; analyzing market reactions to lobbying around legislation[72]; political influence on industries,United States,1999–present (lobbying reports under the Lobbying Disclosure Act),Quarterly updates (reflecting filed lobbying reports),"CSV data sets (report-level, issue-level, etc., via site)",MIT / UCSD (Academic project),"In Song Kim (MIT) and colleagues (LobbyView creators, 2018)",38
MacroFinance & MacroHistory Lab Database,https://www.macrohistory.net/database/,Macro (Financial History),"Historical macroeconomic and financial data compiled by the Jordà-Schularick-Taylor Macrohistory Lab[73]. Includes long-term series on GDP, credit, housing prices, interest rates, banking crises, etc., across many countries, enabling study of financial system evolution[74].",Analyzing housing price dynamics during historical crises[75]; studying long-run effects of monetary policy on financial stability[75]; macro-financial regime comparisons,Global (17~20 advanced economies),1870–present (annual data for many variables through modern era),Occasional updates (updated for research publications),CSV/XLS data download (via website),MacroHistory Lab (Univ. of Bonn & others),"Òscar Jordà, Moritz Schularick, Alan M. Taylor (2017)",39
QT.csv – Quantitative Tightening Data,(Google Drive CSV file),Macro (Monetary Policy),"Dataset of quantitative tightening events and measures, focusing on central bank balance sheet reductions and their market impact[76]. Tracks episodes of major central banks (e.g. Federal Reserve) unwinding asset purchases, useful for studying policy normalization effects.",Examining effects of balance sheet reduction on bond yields[77]; analyzing stock market reactions to quantitative tightening announcements[77]; comparing QE vs QT impacts,U.S. (and other major economies for QT episodes),2017–present (Fed QT cycles; other CBs post-2010s),Updated when new QT events occur,CSV file (shared via Google Drive),Compiled by Mark Dijkstra (or source cited in file),(N/A) (likely compiled from central bank data),40
SHELDUS (Spatial Hazard Events and Losses Database),https://cemhs.asu.edu/sheldus,Macro (Disaster Risk),"U.S. county-level dataset of natural hazard events (thunderstorms, hurricanes, floods, wildfires, etc.) and their direct losses (property damage, crop loss, injuries, fatalities)[78]. Covers events from 1960 onward, providing granular insight into local disaster impacts.",Analyzing the economic impact of natural disasters on local communities; insurance loss modeling; studying credit risk in disaster-prone areas[79],United States (county-level),1960–present,Continuous (updated as new hazard events occur),Online database (query by county/event; data export),Arizona State Univ. (CEMHS),Data team at ASU’s Center for Emergency Mgmt,41
Transparency Int’l Corruption Perceptions Index,https://www.transparency.org/en/cpi/2023,Macro (Governance),"Annual index ranking countries by perceived public-sector corruption (0 = highly corrupt to 100 = very clean)[80]. Based on expert assessments and surveys, it is used to study the relationship between governance quality and economic or financial outcomes[80].",Investigating how corruption levels affect foreign direct investment[81]; studying corporate governance and firm performance in high-corruption environments[81],Global (180+ countries),1995–present (annual scores),Annual,Index scores downloadable (CSV) on TI website,Transparency International (NGO),(N/A),42
Amit Goyal’s Data Library,https://sites.google.com/view/agoyal145,Asset Pricing,"Repository of datasets from Prof. Amit Goyal’s research, including well-known predictors for stock returns (e.g. dividend yields, earnings yields, interest rates) and bond returns[82]. These are foundational for studies on return predictability and asset allocation.",Testing equity premium prediction models; exploring new return predictors; replicating Goyal & Welch (2008) results,"U.S. (primarily, for most predictors)","~1926–present (varies by predictor, many start mid-20th century)",Occasional updates (data through early 2020s for some series),Excel/CSV files (via Google Sites link),University of Lausanne (previously McGill),Amit Goyal (with Ivo Welch for equity predictors),43
Grigory Vilkov’s Data Repository,https://vilkov.net/codedata.html#,Asset Pricing (Derivatives),"Repository of datasets and code from Prof. Grigory Vilkov’s work, covering option pricing, volatility surfaces, and risk management[84]. Enables replication of studies on derivative markets and volatility risk.",Analyzing volatility risk premiums; replicating option pricing models; studying hedging strategies performance,Global (primarily U.S./EU options markets),2000s–present (as per research data),Static (per research publication),CSV data and code (on personal academic page),Frankfurt School of Finance & Management,Grigory Vilkov,44
Intermediary Capital Ratio and Risk Factor (Zhiguo He),https://zhiguohe.net/data-and-empirical-patterns/intermediary-capital-ratio-and-risk-factor/,Asset Pricing,"Dataset from Zhiguo He’s research on the intermediary asset pricing model, providing the intermediary capital ratio factor and related data[85]. Focuses on how broker-dealer balance sheet conditions drive asset returns.",Testing intermediary asset pricing models; examining how dealer leverage (capital ratios) predicts asset price fluctuations; financial crisis analysis,U.S. (financial sector intermediaries),~1970–present (as used in the research),"Static (research dataset, fixed period)",Data files (Stata/CSV via author’s site),"University of Chicago, Booth School",Zhiguo He (2018),45
Robert Stambaugh’s Research Data,https://finance.wharton.upenn.edu/~stambaug/,Asset Pricing,"Data accompanying Prof. Robert F. Stambaugh’s influential studies on markets. Includes datasets on market efficiency, returns, and especially liquidity factors (e.g. Pastor-Stambaugh liquidity factor)[86]. Facilitates replication and further exploration of his work.",Investigating the role of market liquidity in asset pricing; replicating stock predictability studies; analyzing anomalies identified by Stambaugh,U.S. (stock market and mutual funds),~1960–present (varies by dataset; liquidity factor from 1968),Occasional updates (as papers are published),CSV data files (via Wharton faculty page),University of Pennsylvania (Wharton),Robert F. Stambaugh,46
Vincent Bogousslavsky’s Data,https://bogousslavsky.github.io/data/,Asset Pricing (Market Microstructure),"Datasets from Vincent Bogousslavsky’s research on informed trading, high-frequency market dynamics, and auction pricing[87]. Includes measures like trading intensity, order imbalance volatility, etc., useful for analyzing intraday market behavior.",Studying short-term reversal and momentum at high frequencies; evaluating how order imbalances affect prices; research on price formation during auctions,U.S. (high-frequency equity markets),2000s–present (per research sample period),Static (per publication dataset),CSV data files (via personal GitHub pages),Boston College (Carroll School),Vincent Bogousslavsky,47
Federal Reserve Economic Data (FRED),https://fred.stlouisfed.org/,Macro & Markets,"A massive database of over 816,000 economic and financial time series from various sources, maintained by the St. Louis Fed[88]. Covers macro indicators (GDP, CPI, employment), interest rates, financial markets, etc., with data from dozens of national and international agencies.",Macroeconomic analysis and forecasting; financial market correlations with macro variables; quick access to historical economic data for research and teaching,U.S. (plus extensive international data),~1850s–present (for some series; most post-WWII),Daily/Weekly/Monthly (varies by series; many real-time updates),"API, CSV/Excel downloads (via FRED website)",Federal Reserve Bank of St. Louis,(N/A),48
World Bank World Development Indicators (WDI),https://datacatalog.worldbank.org/dataset/world-development-indicators,Macro (Development),"The World Bank’s primary collection of development statistics, with over 1,500 indicators on economic, social, and environmental topics for 200+ countries[89]. Provides decades of data (many series from 1960) on GDP, trade, education, health, poverty, and more, enabling global development research.",Cross-country growth and development analysis; tracking progress on Sustainable Development Goals; examining how economic indicators relate to financial development,Global (214 economies),1960–present (annual data for most indicators),Annual updates (with continual revisions),"Online DataBank, CSV/Excel bulk download; API available",World Bank,(N/A),49
Penn World Table (PWT),https://www.rug.nl/ggdc/productivity/pwt/,Macro (International Accounts),"A set of national accounts data providing comparable real GDP, productivity, and factor inputs for 183 countries from 1950 onward[90]. Allows cross-country and over-time comparisons of living standards and economic productivity under a consistent PPP-based framework[90].",International comparisons of GDP per capita and productivity; long-run growth analysis; calibrating economic models with PPP-adjusted data,Global (183 countries),1950–2019 (latest version PWT 10.0 covers up to 2019),Infrequent major releases (updated every few years),Excel/Stata datasets (via University of Groningen site),Univ. of Groningen & UC Davis (GGDC),"Robert C. Feenstra, Robert Inklaar, Marcel P. Timmer",50
Global Financial Development Database (GFDD),https://www.worldbank.org/en/publication/gfdr/data/global-financial-development-database,Macro (Financial Systems),"Extensive dataset of financial system characteristics for 214 economies, with 108 indicators on banking and markets, yearly from 1960–2021[91]. Metrics cover financial depth, access, efficiency, and stability for both financial institutions and markets[92], following the World Bank’s 4x2 framework.",Benchmarking countries’ financial development; studying links between financial development and growth; analyzing effects of bank regulations across countries,Global (214 countries),1960–2021 (annual data),Annual (last update Sep 2022),Excel data files (via World Bank site),World Bank (Global Finance team),Martin Cihák; Asli Demirgüç-Kunt; Erik Feyen; Ross Levine (2012),51
BIS International Financial Statistics,https://data.bis.org/,Macro/Finance (Global),"A collection of international financial datasets compiled by the BIS in cooperation with central banks[93]. Covers global banking activity (locational and consolidated bank statistics), credit to non-financial sectors, debt securities, exchange rates, derivatives turnover, and more. Designed to inform analysis of monetary and financial stability[93].",Research on global liquidity and credit cycles; analysis of international banking flows; studying credit-to-GDP gaps for financial stability assessments; cross-country housing and debt comparisons,"Global (multiple databases: 40+ countries in some, up to 180 in others)","~1960s–present (varies by dataset; credit series from 1960, banking stats from 1970s)",Quarterly/Annual (depending on dataset; frequent updates),Online BIS Data Portal (CSV/XLS bulk downloads; API),Bank for International Settlements (BIS),(N/A),52
